timestamp,imbalanced_prop_metric,motor_failure_mask,motor_stop_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
9155042531,0.009077501,0,0,0,0,0,0,0,0,0,0
9155550382,0.007948582,0,0,0,0,0,0,0,0,0,0
9156055938,0.0068989373,0,0,0,0,0,0,0,0,0,0
9156562083,0.006059837,0,0,0,0,0,0,0,0,0,0
9157067398,0.005254419,0,0,0,0,0,0,0,0,0,0
9157573214,0.0045506614,0,0,0,0,0,0,0,0,0,0
9158077988,0.0038313267,0,0,0,0,0,0,0,0,0,0
9158584436,0.0033506232,0,0,0,0,0,0,0,0,0,0
9159089827,0.00251314,0,0,0,0,0,0,0,0,0,0
9159595199,0.0023012368,0,0,0,0,0,0,0,0,0,0
9160101288,0.0020097285,0,0,0,0,0,0,0,0,0,0
9160607951,0.0016241734,0,0,0,0,0,0,0,0,0,0
9161113208,0.001558414,0,0,0,0,0,0,0,0,0,0
9161619902,0.0011827324,0,0,0,0,0,0,0,0,0,0
