timestamp,timestamp_sample,device_id,pressure,temperature,error_count
9119140122,9119139871,6845961,98913.11,47.73726,0
9119249473,9119249215,6845961,98912.66,47.731453,0
9119327602,9119327350,6845961,98913.086,47.734936,0
9119436964,9119436716,6845961,98913.03,47.73029,0
9119515139,9119514879,6845961,98912.89,47.734936,0
9119624471,9119624221,6845961,98912.94,47.739582,0
9119765160,9119764906,6845961,98912.94,47.739582,0
9119812130,9119811759,6845961,98912.766,47.741905,0
9119952601,9119952350,6845961,98912.375,47.741905,0
9120030750,9120030489,6845961,98912.234,47.747715,0
9120140129,9120139879,6845961,98912.37,47.740746,0
9120218202,9120217952,6845961,98912.555,47.739582,0
9120327594,9120327341,6845961,98912.43,47.74655,0
9120468210,9120467960,6845961,98912.11,47.7361,0
9120515129,9120514875,6845961,98912.72,47.73726,0
9120593259,9120592986,6845961,98912.54,47.73842,0
9120765128,9120764874,6845961,98912.64,47.73029,0
9120843215,9120842961,6845961,98912.695,47.734936,0
9120952607,9120952358,6845961,98912.64,47.73029,0
9121030751,9121030502,6845961,98913.02,47.729126,0
9121140123,9121139873,6845961,98913.19,47.725643,0
9121218202,9121217956,6845961,98912.66,47.731453,0
9121327649,9121327404,6845961,98913.3,47.7361,0
9121405762,9121405471,6845961,98913.07,47.733772,0
9121515124,9121514863,6845961,98913.086,47.734936,0
9121608840,9121608591,6845961,98913.05,47.731453,0
9121702598,9121702344,6845961,98913.71,47.73842,0
9121843203,9121842954,6845961,98913.67,47.734936,0
9121921331,9121921085,6845961,98913.945,47.72448,0
9122030736,9122030489,6845961,98913.2,47.727966,0
9122124466,9122124218,6845961,98912.94,47.72216,0
9122218272,9122218002,6845961,98912.734,47.720997,0
9122311965,9122311716,6845961,98913.664,47.71635,0
9122421336,9122421088,6845961,98913.73,47.72216,0
9122546402,9122546148,6845961,98913.914,47.720997,0
9122608894,9122608643,6845961,98913.13,47.720997,0
9122733851,9122733601,6845961,98913.62,47.711704,0
9122843206,9122842956,6845961,98913.69,47.718674,0
9122937096,9122936844,6845961,98913.52,47.720997,0
9123030793,9123030543,6845961,98914.12,47.720997,0
9123124469,9123124216,6845961,98914.01,47.73029,0
9123233849,9123233603,6845961,98913.85,47.733772,0
9123311981,9123311729,6845961,98913.79,47.727966,0
9123421352,9123421100,6845961,98913.85,47.733772,0
9123546396,9123546099,6845961,98914.125,47.740746,0
9123608915,9123608663,6845961,98914.18,47.74539,0
9123749527,9123749281,6845961,98913.61,47.747715,0
9123827589,9123827341,6845961,98913.85,47.751198,0
9123936958,9123936713,6845961,98914.05,47.751198,0
9124015119,9124014863,6845961,98913.8,47.74655,0
9124124468,9124124220,6845961,98914.24,47.751198,0
9124265082,9124264832,6845961,98914.22,47.75004,0
9124311963,9124311715,6845961,98913.99,47.74655,0
9124452606,9124452354,6845961,98914.87,47.754684,0
9124561969,9124561713,6845961,98913.59,47.74539,0
9124640132,9124639881,6845961,98914.125,47.75933,0
9124749692,9124749306,6845961,98913.86,47.75236,0
9124827586,9124827336,6845961,98914.125,47.75933,0
