timestamp,voltage_v,current_a,current_average_a,discharged_mah,remaining,scale,time_remaining_s,temperature,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,full_charge_capacity_wh,remaining_capacity_wh,nominal_voltage,internal_resistance_estimate,ocv_estimate,ocv_estimate_filtered,volt_based_soc_estimate,voltage_prediction,prediction_error,estimation_covariance_norm,capacity,cycle_count,average_time_to_empty,manufacture_date,state_of_health,max_error,interface_error,faults,over_discharge_count,connected,cell_count,source,priority,id,is_powering_off,is_required,warning
9126379488,11.584772,-0.0,10.16801,0.0,0.43896556,1.0870908,202.2436,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.584772,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9126579461,11.589747,-0.0,10.12742,0.0,0.43898067,1.0870928,203.06068,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.589747,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9126779448,11.588503,-0.0,10.087029,0.0,0.438995,1.0870924,203.88074,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.588503,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9126979534,11.594721,-0.0,10.046781,0.0,0.4390109,1.0870817,204.70526,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.594721,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9127179441,11.588503,-0.0,10.006697,0.0,0.43902886,1.0870794,205.53333,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.588503,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9127379448,11.588503,-0.0,9.966769,0.0,0.4390442,1.087084,206.36395,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.588503,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9127579441,11.589747,-0.0,9.926984,0.0,0.43905964,1.0870782,207.19789,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.589747,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9127779441,11.589747,-0.0,9.887393,0.0,0.43907717,1.0870681,208.03625,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.589747,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9127979448,11.597208,-0.0,9.847943,0.0,0.43909654,1.0870559,208.87888,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.597208,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9128179439,11.582285,-0.0,9.808639,0.0,0.43911487,1.0870695,209.72437,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.582285,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9128379508,11.587259,-0.0,9.769512,0.0,0.43912473,1.0870824,210.56953,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.587259,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9128579488,11.594721,-0.0,9.730498,0.0,0.43913305,1.08708,211.41699,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.594721,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9128779461,11.586016,-0.0,9.691691,0.0,0.4391439,1.0870756,212.26907,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.586016,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9128979526,11.598452,-0.0,9.653025,0.0,0.43915302,1.0870733,213.12413,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.598452,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9129179481,11.588503,-0.0,9.614518,0.0,0.43916073,1.0870827,213.98145,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.588503,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9129379447,11.587259,-0.0,9.576157,0.0,0.43916416,1.0870916,214.84021,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.587259,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9129579574,11.59099,-0.0,9.537914,0.0,0.43916565,1.0870947,215.70213,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.59099,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9129779458,11.589747,-0.0,9.499879,0.0,0.43916607,1.0870963,216.56593,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.589747,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9129979526,11.594721,-0.0,9.461974,0.0,0.43916634,1.0870944,217.43391,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.594721,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9130179453,11.587259,-0.0,9.424239,0.0,0.43916643,1.087102,218.3047,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.587259,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9130379499,11.594721,-0.0,9.386633,0.0,0.4391654,1.0870942,219.17891,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.594721,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9130579451,11.589747,-0.0,9.349155,0.0,0.43916515,1.0871017,220.05661,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.589747,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9130779616,11.587259,-0.0,9.311853,0.0,0.43916312,1.0871043,220.93788,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.587259,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9130979518,11.588503,-0.0,9.2746725,0.0,0.4391588,1.0871102,221.82033,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.588503,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9131179454,11.586016,-0.0,9.237696,0.0,0.4391522,1.0871192,222.70534,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.586016,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9131379434,11.592234,-0.0,9.200855,0.0,0.4391461,1.087113,223.59431,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.592234,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9131579438,11.597208,-0.0,9.164127,0.0,0.4391424,1.0871072,224.48817,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.597208,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9131779454,11.594721,-0.0,9.127574,0.0,0.43913925,1.0871061,225.38594,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.594721,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9131979451,11.588503,-0.0,9.091159,0.0,0.4391331,1.0871221,226.28563,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.588503,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9132179451,11.586016,-0.0,9.054884,0.0,0.43912292,1.0871317,227.18686,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.586016,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9132379447,11.59099,-0.0,9.018743,0.0,0.43911192,1.0871296,228.09125,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.59099,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9132579447,11.584772,-0.0,8.982753,0.0,0.43910414,1.0871301,229.00095,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.584772,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9132779463,11.587259,-0.0,8.946929,0.0,0.43909568,1.0871294,229.91394,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.587259,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9132979461,11.59099,-0.0,8.911229,0.0,0.43908814,1.0871285,230.83104,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.59099,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9133179449,11.594721,-0.0,8.875673,0.0,0.4390787,1.0871334,231.75069,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.594721,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9133379442,11.588503,-0.0,8.8402605,0.0,0.43906942,1.0871347,232.67412,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.588503,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9133579435,11.598452,-0.0,8.804971,0.0,0.43906045,1.0871347,233.60141,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.598452,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9133779447,11.587259,-0.0,8.769852,0.0,0.43905175,1.0871419,234.53268,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.587259,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
9133979481,11.582285,-0.0,8.73485,0.0,0.43904004,1.0871485,235.46606,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.582285,11.59099,0.4394393,0.0,0.0,4.509989,1300,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
