timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
9138461967,15728642,15728642,0,0,0,0,0,0,0,0,127.22432,99.84474,127.22432,99.84474,0.46274003,0.18795642,7.2145645e-09,-0.6739617,0.010128433,-9.832683,0.000690535,-0.0012429621,0.016601562,0.00032598295,0.000857729,0.0011841748,6.7922796e-05,5.6563476e-05,5.107456e-05,nan,nan
9139542476,15728642,15728642,0,0,0,0,0,0,0,0,127.24683,99.84595,127.24683,99.84595,0.40471995,0.17848377,1.16586584e-07,-1.2847884,0.5196767,-9.733817,-0.10282678,-0.098306924,-0.013671869,0.018178917,0.07059286,0.015791358,0.04618087,0.030860826,0.030023193,nan,nan
9140494813,15728642,15728642,0,0,0,0,0,0,0,0,127.25654,99.846085,127.25654,99.846085,0.34596595,0.17355931,5.3114314e-07,-0.68303734,0.6491025,-9.926061,0.07307104,-0.011048559,0.11541192,0.046594996,0.046734143,0.13493812,0.057550993,0.14705546,0.10296968,nan,nan
9141565725,15728642,15728642,0,0,0,0,0,0,0,0,127.27303,99.844215,127.27303,99.844215,0.43059105,0.21211591,1.2250992e-07,0.17795987,-0.39735234,-9.859933,-0.008788597,-0.013057385,0.26331675,0.2153,0.3419798,0.022582669,0.0013802607,0.0022183855,0.3108382,nan,nan
9142528261,15728642,15728642,0,0,0,0,0,0,0,0,127.28798,99.84449,127.28798,99.84449,0.4978358,0.2396619,2.638022e-07,-0.5153691,0.23501234,-10.136067,0.20881745,0.19997865,0.084375,0.03732363,0.3361393,0.09281177,0.23273966,0.20788819,0.12983008,nan,nan
9143489622,15728642,15728642,0,0,0,0,0,0,0,0,127.254616,99.84473,127.254616,99.84473,0.45292217,0.22337613,4.8177435e-07,-0.3827537,-0.5177025,-9.775949,0.26579285,0.24595562,0.5687145,0.110907584,0.34058052,0.013241372,0.020992039,0.019370442,0.061234146,nan,nan
9144550695,15728642,15728642,0,0,0,0,0,0,0,0,127.27032,99.84396,127.27032,99.84396,0.52744776,0.27901903,6.3907044e-07,-0.4571341,0.51237684,-10.021484,-0.10558893,-0.08675618,-0.13884944,0.06996946,0.17414945,0.06266137,0.19406144,0.13812093,0.5127872,nan,nan
9145532681,15728642,15728642,0,0,0,0,0,0,0,0,127.263115,99.8461,127.263115,99.8461,0.46857908,0.2370152,4.951969e-08,-0.14323705,-0.3314557,-9.7952,0.16384485,0.16660702,-0.19211648,0.104388736,0.0069415756,0.042176988,0.032330036,0.03533603,0.06366979,nan,nan
9146494489,15728642,15728642,0,0,0,0,0,0,0,0,127.27611,99.84475,127.27611,99.84475,0.62404764,0.26837564,3.330094e-07,-0.13139933,-0.53269696,-9.784598,-0.16221265,-0.17953886,0.6203835,0.17833501,0.6789079,0.067558594,0.025561268,0.026154717,0.24717045,nan,nan
9147566471,15728642,15728642,0,0,0,0,0,0,0,0,127.28942,99.84441,127.28942,99.84441,0.62889117,0.23769602,3.0350193e-07,0.05405833,-0.5678156,-9.891183,-0.033145633,-0.21745542,-0.17737927,0.3301059,0.102257036,0.16336726,0.042878345,0.022225708,0.043743756,nan,nan
9148528073,15728642,15728642,0,0,0,0,0,0,0,0,127.29848,99.845184,127.29848,99.845184,0.69990504,0.28882214,7.234256e-08,-0.15211536,-0.6879685,-9.825614,0.0013810724,0.007658644,0.0625,0.023616457,0.010292013,0.0020601843,0.002280426,0.003601212,0.003038025,nan,nan
9149489440,15728642,15728642,0,0,0,0,0,0,0,0,127.2896,99.84431,127.2896,99.84431,0.28023767,0.112180665,1.5490399e-11,-0.101805024,-0.65738773,-9.827288,2.910383e-11,0.0002511032,0.0007102273,0.0002850544,0.00035212652,0.00037836656,1.9073486e-06,1.0750512e-06,4.0227715e-06,nan,nan
9150561370,15728642,15728642,0,0,0,0,0,0,0,0,127.30275,99.84382,127.30275,99.84382,0.10730971,0.039364785,0.0,-0.09391321,-0.65738773,-9.829241,0.0,0.0,0.0,8.5401774e-18,0.0,0.0004024279,0.0,0.0,0.0,nan,nan
9151522932,15728642,15728642,0,0,0,0,0,0,0,0,127.314224,99.84491,127.314224,99.84491,0.053282432,0.016132027,2.0170057e-11,-0.1045368,-0.65101355,-9.816106,0.0011048544,0.00027621357,0.00019531246,0.00019562551,0.0002738762,0.00036992744,3.729926e-06,2.4583603e-06,1.2291805e-06,nan,nan
9152484653,15728642,15728642,0,0,0,0,0,0,0,0,127.326225,99.8451,127.326225,99.8451,0.030061886,0.006253916,0.0,-0.099437475,-0.6555463,-9.820573,0.0,0.0,0.0,0.00013078965,0.00015985429,0.00028003528,0.0,0.0,0.0,nan,nan
9153556330,15728642,15728642,0,0,0,0,0,0,0,0,127.337494,99.84573,127.337494,99.84573,0.023435542,0.0021336258,0.0,-0.09983207,-0.6514689,-9.823939,0.0,0.0,0.0,0.0002557105,0.0002557113,0.00032973906,0.0,0.0,0.0,nan,nan
9154496554,15728642,15728642,0,0,0,0,0,0,0,0,127.34349,99.84522,127.34349,99.84522,0.021799406,0.00082951994,0.0,-0.10241209,-0.65738773,-9.828726,0.0,0.0,0.0,0.0003032195,0.00063578365,0.00038107854,0.0,0.0,0.0,nan,nan
9155467235,15728642,15728642,0,0,0,0,0,0,0,0,127.35321,99.84448,127.35321,99.84448,0.021015484,0.00031292555,0.0,-0.107723884,-0.6633066,-9.830636,0.0,0.0,0.0,0.00020540683,0.00037308663,0.00044979755,0.0,0.0,0.0,nan,nan
9156499361,15728642,15728642,0,0,0,0,0,0,0,0,127.362656,99.845505,127.362656,99.845505,0.020203482,0.00011113898,0.0,-0.10028737,-0.65101355,-9.83083,0.0,0.0,0.0,0.00014671912,0.00040103245,0.0004002512,0.0,0.0,0.0,nan,nan
9157552083,15728642,15728642,0,0,0,0,0,0,0,0,127.374794,99.84459,127.374794,99.84459,0.019904394,3.868675e-05,0.0,-0.09816264,-0.6488888,-9.827524,0.0,0.0,0.0,0.00023475062,0.00017606326,0.00039125164,0.0,0.0,0.0,nan,nan
9158512326,15728642,15728642,0,0,0,0,0,0,0,0,127.3822,99.84464,127.3822,99.84464,0.017810976,1.4741491e-05,0.0,-0.107723884,-0.64357704,-9.81529,0.0,0.0,0.0,0.00020540679,0.00020540718,0.00010899073,0.0,0.0,0.0,nan,nan
9159474203,15728642,15728642,0,0,0,0,0,0,0,0,127.372635,99.845085,127.372635,99.845085,0.018640095,0.0010099019,1.43702055e-11,-0.09983207,-0.6475229,-9.81529,0.0013810679,-0.00012555157,-0.00088778423,0.0002557105,0.0001886392,0.00010899145,4.577637e-06,1.3178044e-06,1.0403722e-06,nan,nan
9160546457,15728642,15728642,0,0,0,0,0,0,0,0,127.38045,99.84471,127.38045,99.84471,0.018740334,0.0005004101,0.0,-0.09588616,-0.65541476,-9.82394,0.0,0.0,0.0,0.00017187098,0.00017187133,0.00032973933,0.0,0.0,0.0,nan,nan
9161496814,15728642,15728642,0,0,0,0,0,0,0,0,127.38729,99.84484,127.38729,99.84484,0.01973862,0.00019260602,0.0,-0.101805024,-0.65738773,-9.838449,0.0,0.0,0.0,0.00016767903,0.00023475109,0.00063995016,0.0,0.0,0.0,nan,nan
