timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ
9115926005,0.016515216,-0.0033791154,-0.0009815028
9115947005,0.01786613,-0.0025216152,-0.0008179534
9115965954,0.019504232,-0.0019160588,-0.0009254463
9115985913,0.020893298,-0.0013889144,-0.0010232165
9116006059,0.022048503,-0.001024889,-0.0009328169
9116025947,0.022783713,-0.0008006413,-0.00083367777
9116046235,0.02308541,-0.000495229,-0.0008154696
9116068560,0.023142276,-0.00021923441,-0.00071031577
9116087553,0.022831509,-2.038369e-05,-0.0006718783
9116106535,0.021986622,-0.00011995381,-0.0006655549
9116126512,0.020541968,-0.0004400197,-0.0007103246
9116146397,0.018783087,-0.0007801885,-0.00070754904
9116166113,0.017135132,-0.00085220864,-0.00072888413
9116186006,0.015551256,-0.0010156034,-0.0007284575
9116205939,0.013662554,-0.0011707231,-0.0007109713
9116226892,0.011541994,-0.0011956465,-0.00056034303
9116245963,0.0098099075,-0.0012025234,-0.0004017946
9116267944,0.008207535,-0.0011114309,-0.00027895728
9116285884,0.0065229814,-0.0009831524,-0.00021635293
9116306796,0.004400374,-0.00078682945,-0.00014246242
9116327286,0.00209152,-0.00058497716,-4.630187e-05
9116346151,-0.00016019738,-0.00049383123,-4.5312372e-05
9116367038,-0.0014881747,-0.00028867676,-5.7215893e-05
9116386954,-0.004033833,-1.2732271e-05,8.449148e-05
9116407916,-0.0065829447,0.0003424976,0.00026917792
9116426961,-0.0065829447,0.0007181552,0.0004018095
9116447335,-0.0065829447,0.000948949,0.00045361216
9116466985,-0.009353396,0.0011281417,0.0004795806
9116486966,-0.0116911195,0.0011947538,0.0004946119
9116507187,-0.014061609,0.0013133766,0.00042857704
9116526399,-0.016330868,0.0014797469,0.0003929731
9116546944,-0.016330868,0.0018628106,0.0003651566
9116567067,-0.016330868,0.0023834873,0.0004143935
9116588234,-0.016330868,0.0027327624,0.00043008427
9116606355,-0.016330868,0.003162299,0.00038148812
9116627277,-0.016330868,0.0038238657,0.0004564013
9116647313,-0.016330868,0.0043420712,0.00053945143
9116666166,-0.016330868,0.004692291,0.0005940865
9116687675,-0.016330868,0.0049456474,0.00061134226
9116706899,-0.018546734,0.004980384,0.00046817766
9116727749,-0.01982319,0.0049185394,0.00029959198
9116746776,-0.01982319,0.004918078,0.00029959198
9116768835,-0.020936307,0.0049575507,0.00031692945
9116787735,-0.020936307,0.0049575507,0.00031692945
9116806671,-0.020936307,0.0049575507,0.00031692945
9116827687,-0.020936307,0.0049575507,0.00031692945
9116846754,-0.020936307,0.0049575507,0.00031692945
9116867870,-0.020936307,0.0049575507,0.00031692945
9116887758,-0.020888869,0.00478824,0.0004186746
9116908616,-0.02118388,0.0041901134,0.00042160027
9116927511,-0.02087973,0.0030543883,0.000497583
9116948333,-0.019896714,0.001978367,0.0006776866
9116967439,-0.018674277,0.0011763865,0.00078982924
9116987417,-0.017299253,0.00043195696,0.0008886389
9117008342,-0.016050085,-0.00034967175,0.0009397312
9117027659,-0.0149355335,-0.0011749727,0.00092902995
9117047790,-0.013733084,-0.0021632991,0.0009524601
9117067789,-0.012287957,-0.0032668686,0.0009828608
9117088800,-0.010640686,-0.004561286,0.00092457636
9117108091,-0.009827061,-0.0059773545,0.00085949217
9117127965,-0.0092727225,-0.0075034616,0.00095467694
9117147920,-0.008460505,-0.008451333,0.0011503284
9117167860,-0.008460505,-0.009592055,0.0012360353
9117187789,-0.008460505,-0.01076163,0.0012360353
9117207764,-0.008460505,-0.01076163,0.0012360353
9117229774,-0.008460505,-0.012222478,0.0012696591
9117247592,-0.008460505,-0.013499005,0.0013248929
9117268535,-0.008460505,-0.013499005,0.0013248929
9117288048,-0.008460505,-0.013499005,0.0013248929
9117307944,-0.008146121,-0.013499005,0.0012455384
9117329227,-0.0074955113,-0.016496034,0.0010638059
9117348302,-0.006687113,-0.018908493,0.0010162966
9117368587,-0.006687113,-0.021184452,0.0010146309
9117388314,-0.006687113,-0.023389291,0.00094909646
9117409276,-0.0060984185,-0.025551014,0.00094909646
9117428461,-0.0060984185,-0.02661277,0.00094909646
9117448879,-0.0060984185,-0.02880702,0.00094909646
9117468815,-0.0057242876,-0.030635392,0.0007969107
9117487947,-0.005103235,-0.031944346,0.0006472541
9117508965,-0.0047807684,-0.03298431,0.00066912983
9117528110,-0.0051158667,-0.033660598,0.00072322605
9117548897,-0.0058309427,-0.033802968,0.0008877844
9117568896,-0.00670243,-0.033440642,0.001035347
9117589802,-0.008121237,-0.033107426,0.0011267418
9117608782,-0.008121237,-0.032642987,0.0011267418
9117628765,-0.009849582,-0.032135222,0.0012261978
9117648775,-0.01148024,-0.031610917,0.0013070914
9117668672,-0.013288221,-0.030888874,0.0013188282
9117688459,-0.015203175,-0.02980452,0.0012584463
9117708577,-0.015203175,-0.028092248,0.0011653065
9117730452,-0.015203175,-0.02681464,0.0012966502
9117748374,-0.015203175,-0.02628904,0.0012966502
9117769317,-0.015203175,-0.025810808,0.0012365908
9117789315,-0.015203175,-0.025200369,0.0012365908
9117808395,-0.015203175,-0.024519801,0.0013954841
9117829595,-0.016559433,-0.024046924,0.0014414648
9117848439,-0.016559433,-0.023769096,0.0012996972
9117869494,-0.016559433,-0.023439152,0.0011593774
9117888422,-0.016559433,-0.022672854,0.0011593774
9117909837,-0.016559433,-0.021301594,0.0011593774
9117928770,-0.016559433,-0.019452352,0.0012057702
9117948641,-0.016559433,-0.017910535,0.0012492229
9117969809,-0.016559433,-0.01636817,0.0012492229
9117989006,-0.016559433,-0.014692149,0.0012492229
9118008940,-0.016559433,-0.0126158595,0.0012492229
9118030336,-0.016559433,-0.01118742,0.0012908335
9118050631,-0.016559433,-0.01118742,0.0013481254
9118069608,-0.016559433,-0.01118742,0.001363394
9118089553,-0.016559433,-0.008256047,0.0014043889
9118109470,-0.016559433,-0.0050742226,0.0014793732
9118129879,-0.016559433,-0.002193777,0.0016398265
9118149772,-0.016559433,0.000364905,0.0018578
9118168753,-0.016559433,0.0022853909,0.002158651
9118189492,-0.016559433,0.003456212,0.0022892463
9118209472,-0.016559433,0.0044393362,0.0022312794
9118230564,-0.016559433,0.0053614723,0.0021640274
9118249448,-0.016559433,0.0059227813,0.0021399488
9118269234,-0.016559433,0.0061113434,0.0021094691
9118289574,-0.016559433,0.006337178,0.0019528955
9118309675,-0.016559433,0.0063808197,0.0018284137
9118329601,-0.016559433,0.005907141,0.0015686344
9118349449,-0.016559433,0.004623438,0.0013277397
9118371357,-0.016559433,0.0033737635,0.0009341154
9118389360,-0.017441796,0.00301703,0.0009341154
9118410279,-0.018551867,0.0021985848,0.00090296374
9118430170,-0.018872604,0.00068708573,0.0008605902
9118449972,-0.018775864,-0.00026556832,0.00090662926
9118470843,-0.01852453,-0.0014303462,0.0007605726
9118489559,-0.01775128,-0.0032894292,0.00050749653
9118510543,-0.017014246,-0.0055248546,0.0004433795
9118529875,-0.017014246,-0.0075096367,0.0004433795
9118551232,-0.015364262,-0.009566071,0.0003115575
9118569810,-0.015364262,-0.011658435,0.0003115575
9118590716,-0.015364262,-0.013797629,0.0003115575
9118610565,-0.015364262,-0.016030509,0.0003115575
9118629451,-0.014515041,-0.017651927,0.0003115575
