timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
9120888503,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1168.0,1112.0,1076.0,1042.0,1000.0,1000.0,1000.0,1000.0
9120988499,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1133.0,1135.0,1093.0,1040.0,1000.0,1000.0,1000.0,1000.0
9121088456,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1129.0,1157.0,1072.0,1000.0,1000.0,1000.0,1000.0
9121188450,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1157.0,1157.0,1040.0,1000.0,1000.0,1000.0,1000.0
9121288458,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1157.0,1157.0,1040.0,1000.0,1000.0,1000.0,1000.0
9121388455,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1157.0,1157.0,1040.0,1000.0,1000.0,1000.0,1000.0
9121488452,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1053.0,1117.0,1169.0,1059.0,1000.0,1000.0,1000.0,1000.0
9121588445,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1137.0,1098.0,1059.0,1108.0,1000.0,1000.0,1000.0,1000.0
9121688444,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1158.0,1080.0,1041.0,1120.0,1000.0,1000.0,1000.0,1000.0
9121788451,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1157.0,1040.0,1040.0,1157.0,1000.0,1000.0,1000.0,1000.0
9121888459,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1157.0,1040.0,1040.0,1157.0,1000.0,1000.0,1000.0,1000.0
9121988452,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1157.0,1040.0,1040.0,1157.0,1000.0,1000.0,1000.0,1000.0
9122088453,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1157.0,1040.0,1040.0,1157.0,1000.0,1000.0,1000.0,1000.0
9122188472,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1092.0,1128.0,1125.0,1057.0,1000.0,1000.0,1000.0,1000.0
9122288447,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1157.0,1157.0,1040.0,1000.0,1000.0,1000.0,1000.0
9122388456,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1157.0,1157.0,1040.0,1000.0,1000.0,1000.0,1000.0
9122488454,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1157.0,1157.0,1040.0,1000.0,1000.0,1000.0,1000.0
9122588453,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1157.0,1157.0,1040.0,1000.0,1000.0,1000.0,1000.0
9122688450,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1157.0,1157.0,1040.0,1000.0,1000.0,1000.0,1000.0
9122788448,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1100.0,1058.0,1110.0,1134.0,1000.0,1000.0,1000.0,1000.0
9122888457,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1157.0,1040.0,1040.0,1157.0,1000.0,1000.0,1000.0,1000.0
