timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
9130044616,9130043898,-1.4613019,-1.3258774,-9.997321
9130053021,9130052293,-1.3904685,-1.1409833,-9.858112
9130061489,9130059136,-1.3321301,-0.9654908,-9.665153
9130071843,9130066919,-1.2734835,-0.86849767,-9.464366
9130077288,9130076100,-1.2410269,-0.86376977,-9.369348
9130083650,9130082932,-1.2536719,-0.91419834,-9.42986
9130092094,9130091141,-1.3095369,-0.9991517,-9.573962
9130101586,9130098864,-1.4270611,-1.1015115,-9.721104
9130110982,9130105862,-1.6007422,-1.2138647,-9.822876
9130115129,9130114208,-1.7576088,-1.3374186,-9.880295
9130123558,9130122836,-1.8268398,-1.39832,-9.932151
9130132046,9130131082,-1.7746327,-1.3365233,-9.991976
9130142253,9130137814,-1.6297836,-1.1775196,-10.032835
9130147628,9130146508,-1.4862881,-0.9767834,-9.988118
9130154079,9130153301,-1.4139562,-0.8274985,-9.844767
9130162518,9130161742,-1.3937209,-0.7776227,-9.672855
9130170802,9130168496,-1.3899434,-0.7830056,-9.554264
9130181335,9130176207,-1.3993353,-0.79893446,-9.55903
9130186533,9130184672,-1.4148734,-0.81382203,-9.689064
9130193892,9130193165,-1.4297116,-0.8416318,-9.872066
9130202331,9130201369,-1.4575826,-0.89993995,-10.024763
9130211705,9130208787,-1.543624,-0.97394395,-10.116508
9130221106,9130215488,-1.6771035,-1.0576866,-10.152391
9130224263,9130223540,-1.8137145,-1.1607099,-10.090294
9130232906,9130232150,-1.9424648,-1.2648444,-9.934218
9130241720,9130238742,-1.9998721,-1.3245425,-9.8026905
9130252098,9130246737,-1.9302576,-1.2880056,-9.781683
9130257215,9130255198,-1.7849364,-1.1471193,-9.840871
9130263752,9130262988,-1.6223938,-0.96521163,-9.913509
9130272147,9130271416,-1.4777155,-0.81692415,-9.954956
9130281565,9130278848,-1.4218159,-0.7368876,-9.889988
9130291972,9130285727,-1.4795202,-0.7376856,-9.707393
9130295126,9130294371,-1.5745105,-0.8015831,-9.553394
9130302555,9130301833,-1.6138134,-0.86053187,-9.5618925
9130312042,9130310194,-1.5886898,-0.85794616,-9.689636
