timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
9154944437,0.0,0.0,0.0,9678,0,-0.10772388,-0.6711984,-9.833984,8923,0,0,0,1
9154954322,0.0,0.0,0.0,9885,0,-0.10772389,-0.6711984,-9.833984,7688,0,0,0,1
9154964224,0.0,0.0,0.0,9902,0,-0.09391322,-0.65738773,-9.8125,16261,0,0,0,1
9154974220,0.0,0.0,0.0,9996,0,-0.09391321,-0.65738773,-9.832031,6276,0,0,0,1
9154985007,0.0,0.0,0.0,10787,0,-0.12153458,-0.65738773,-9.833984,9249,0,0,0,1
9154994624,0.0,0.0,0.0,9617,0,-0.13534522,-0.6711983,-9.816404,7289,0,0,0,1
9155004751,0.0,0.0,0.0,10127,0,-0.14261511,-0.6639286,-9.835937,14719,0,0,0,1
9155014689,0.0,0.0,0.0,9938,0,-0.13534525,-0.64357704,-9.833984,9154,0,0,0,1
9155024128,0.0,0.0,0.0,9439,0,-0.121534586,-0.62976635,-9.832031,7814,0,0,0,1
9155033991,0.0,0.0,0.0,9863,0,-0.10772387,-0.6435769,-9.812498,7522,0,0,0,1
9155044195,0.0,0.0,0.0,10204,0,-0.1077239,-0.64357704,-9.8125,15159,0,0,0,1
9155053845,0.0,0.0,0.0,9650,0,-0.093913205,-0.65738773,-9.812499,7982,0,0,0,1
9155064282,0.0,0.0,0.0,10437,0,-0.1077239,-0.6711984,-9.814453,7567,0,0,0,1
9155074522,0.0,0.0,0.0,10240,0,-0.107723914,-0.6711985,-9.833986,15265,0,0,0,1
9155084958,0.0,0.0,0.0,10436,0,-0.12153456,-0.6850091,-9.816406,9476,0,0,0,1
9155093839,0.0,0.0,0.0,8881,0,-0.12153457,-0.65738773,-9.833984,6811,0,0,0,1
9155104295,0.0,0.0,0.0,10456,0,-0.10772391,-0.64357716,-9.832031,8398,0,0,0,1
9155114719,0.0,0.0,0.0,10424,0,-0.093913205,-0.6573878,-9.822892,14579,0,0,0,1
9155124095,0.0,0.0,0.0,9376,0,-0.093913205,-0.65738773,-9.83203,9232,0,0,0,1
9155133809,0.0,0.0,0.0,9714,0,-0.093913205,-0.65738773,-9.812499,7551,0,0,0,1
9155144144,0.0,0.0,0.0,10335,0,-0.093913205,-0.65738773,-9.8125,7469,0,0,0,1
9155154700,0.0,0.0,0.0,10556,0,-0.11440099,-0.63690007,-9.821943,14673,0,0,0,1
9155164270,0.0,0.0,0.0,9570,0,-0.10772389,-0.64357704,-9.832031,8723,0,0,0,1
9155174719,0.0,0.0,0.0,10449,0,-0.09391323,-0.65738785,-9.832031,7189,0,0,0,1
9155184971,0.0,0.0,0.0,10252,0,-0.100884736,-0.6643594,-9.85255,15442,0,0,0,1
9155194678,0.0,0.0,0.0,9707,0,-0.12153458,-0.6850091,-9.85547,8573,0,0,0,1
9155204418,0.0,0.0,0.0,9740,0,-0.12153457,-0.65738773,-9.853514,7686,0,0,0,1
9155214755,0.0,0.0,0.0,10337,0,-0.10772389,-0.64357704,-9.832031,8545,0,0,0,1
9155225108,0.0,0.0,0.0,10353,0,-0.093913205,-0.65738773,-9.812499,14250,0,0,0,1
9155234786,0.0,0.0,0.0,9678,0,-0.09391319,-0.65738773,-9.8125,8629,0,0,0,1
9155245269,0.0,0.0,0.0,10483,0,-0.093913205,-0.65738773,-9.794923,7438,0,0,0,1
9155255428,0.0,0.0,0.0,10159,0,-0.093913205,-0.65738773,-9.823524,15270,0,0,0,1
9155265109,0.0,0.0,0.0,9681,0,-0.093913205,-0.65738773,-9.8125,9738,0,0,0,1
9155274826,0.0,0.0,0.0,9717,0,-0.09391322,-0.65738773,-9.8125,6759,0,0,0,1
9155284580,0.0,0.0,0.0,9754,0,-0.09391321,-0.65738773,-9.832031,8360,0,0,0,1
9155294563,0.0,0.0,0.0,9983,0,-0.0939132,-0.6573876,-9.82141,14368,0,0,0,1
