timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
9111761170,9111756989,15728642,0.034913402,0.026958441,0.091249995,nan,0
9111861765,9111856877,15728642,0.03181981,0.038006984,0.094375,nan,0
9111961439,9111957832,15728642,0.015467967,0.03756504,0.09375,nan,0
9112061599,9112057579,15728642,0.031377867,0.033145625,0.07125,nan,0
9112163392,9112157400,15728642,0.025632624,0.03977475,0.08625,nan,0
9112262546,9112257993,15728642,0.02209709,0.036239218,0.090624996,nan,0
9112361883,9112357692,15728642,0.029168157,0.03447145,0.090624996,nan,0
9112462493,9112457808,15728642,0.015026025,0.038006984,0.082499996,nan,0
9112563412,9112558509,15728642,0.033587575,0.036239214,0.07125,nan,0
9112664198,9112658171,15728642,0.017235732,0.035797276,0.07125,nan,0
9112762895,9112758709,15728642,0.02253903,0.036681157,0.07875,nan,0
9112863164,9112858672,15728642,0.021213207,0.045078054,0.082499996,nan,0
9112963798,9112959777,15728642,0.007954955,0.038890865,0.090624996,nan,0
9113062911,9113059123,15728642,0.025632627,0.03977475,0.098124996,nan,0
9113163441,9113159206,15728642,0.038006995,0.058336303,0.101875,nan,0
9113264131,9113259635,15728642,0.048171654,0.07380426,0.109375,nan,0
9113363889,9113359364,15728642,0.06540738,0.09369163,0.1125,nan,0
9113463982,9113459292,15728642,0.0720365,0.12860502,0.111875,nan,0
9113563441,9113559651,15728642,0.0888303,0.14274716,0.107499994,nan,0
9113654378,9113650181,15728642,0.0888303,0.1568893,0.11125,nan,0
9113764802,9113760301,15728642,0.08971417,0.13479222,0.12,nan,0
9113866047,9113860062,15728642,0.084852815,0.13346638,0.115624994,nan,0
9113964989,9113960499,15728642,0.08529476,0.1250695,0.131875,nan,0
9114055729,9114050438,15728642,0.064523496,0.10164658,0.131875,nan,0
9114155421,9114150925,15728642,0.047287777,0.09501746,0.14,nan,0
9114255137,9114250951,15728642,0.04419418,0.09192386,0.13625,nan,0
9114356044,9114351094,15728642,0.036681168,0.07380426,0.144375,nan,0
9114455614,9114451229,15728642,0.02651651,0.09103998,0.13562499,nan,0
9114556953,9114551156,15728642,0.03668117,0.09324969,0.14,nan,0
9114655909,9114651527,15728642,0.034471467,0.11755648,0.14750001,nan,0
9114756314,9114751617,15728642,0.04596195,0.13081475,0.139375,nan,0
9114855887,9114851706,15728642,0.030935928,0.11490483,0.13125001,nan,0
9114956579,9114952163,15728642,0.020771267,0.098552994,0.13187501,nan,0
9115056597,9115052808,15728642,0.015909908,0.06982678,0.1325,nan,0
9115157252,9115152350,15728642,0.02872622,0.08883027,0.144375,nan,0
