timestamp,armed_time,takeoff_time,nav_state_timestamp,valid_nav_states_mask,can_set_nav_states_mask,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,executor_in_charge,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,failsafe_defer_state,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
9116895918,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9117402531,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9117907746,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9118413683,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9118918804,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9119425557,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9119930589,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9120436883,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9120941986,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9121448543,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9121954029,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9122460425,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9122965327,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9123472064,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9123977068,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9124484279,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9124989487,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9125495468,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9125859334,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9126366291,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9126871365,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9127377891,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9127883369,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9128390432,9106880203,9112919954,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
