timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2]
9152073012,0.0,0.99816847,0.0,0.0,-0.060495146,0.0,0.0,-0.0
9152082539,0.0,0.99818134,0.0,0.0,-0.060283177,0.0,0.0,-0.0
9152093950,0.0,0.9981966,0.0,0.0,-0.06002947,0.0,0.0,-0.0
9152102368,0.0,0.99820817,0.0,0.0,-0.059837095,0.0,0.0,-0.0
9152112878,0.0,0.9982158,0.0,0.0,-0.05970999,0.0,0.0,-0.0
9152122285,0.0,0.99822253,0.0,0.0,-0.05959635,0.0,0.0,-0.0
9152132875,0.0,0.99823016,0.0,0.0,-0.059468556,0.0,0.0,-0.0
9152142322,0.0,0.99823695,0.0,0.0,-0.05935464,0.0,0.0,-0.0
9152153673,0.0,0.99824506,0.0,0.0,-0.05921785,0.0,0.0,-0.0
9152164346,0.0,0.9982527,0.0,0.0,-0.05908947,0.0,0.0,-0.0
9152171728,0.0,0.99825794,0.0,0.0,-0.059000704,0.0,0.0,-0.0
9152182205,0.0,0.9982654,0.0,0.0,-0.05887488,0.0,0.0,-0.0
9152192659,0.0,0.9982728,0.0,0.0,-0.058749493,0.0,0.0,-0.0
9152203161,0.0,0.99828017,0.0,0.0,-0.058623623,0.0,0.0,-0.0
9152212553,0.0,0.9982868,0.0,0.0,-0.058511164,0.0,0.0,-0.0
9152222958,0.0,0.99829406,0.0,0.0,-0.05838667,0.0,0.0,-0.0
9152234487,0.0,0.9983021,0.0,0.0,-0.05824896,0.0,0.0,-0.0
9152241963,0.0,0.9983138,0.0,0.0,-0.058047973,0.0,0.0,-0.0
9152252533,0.0,0.9983208,0.0,0.0,-0.05792732,0.0,0.0,-0.0
9152262945,0.0,0.9983277,0.0,0.0,-0.057808544,0.0,0.0,-0.0
9152273464,0.0,0.99833465,0.0,0.0,-0.05768875,0.0,0.0,-0.0
9152282824,0.0,0.9983408,0.0,0.0,-0.057582166,0.0,0.0,-0.0
9152292264,0.0,0.9983469,0.0,0.0,-0.05747486,0.0,0.0,-0.0
9152302669,0.0,0.9983538,0.0,0.0,-0.057356626,0.0,0.0,-0.0
9152312147,0.0,0.9983599,0.0,0.0,-0.057249114,0.0,0.0,-0.0
9152322657,0.0,0.9983668,0.0,0.0,-0.05712993,0.0,0.0,-0.0
9152333212,0.0,0.99837357,0.0,0.0,-0.057010412,0.0,0.0,-0.0
