timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
9136991719,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9137496993,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9138002974,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9138508166,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9139014910,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9139520510,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9140027360,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9140532616,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9141039992,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9141544970,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9142051649,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9142557964,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9143064105,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9143570401,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9144076467,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9144583177,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9145088399,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9145382022,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9145888348,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9146393881,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9146900187,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9147405400,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9147911355,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9148416888,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9148923075,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9149428789,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9149934832,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9150440188,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9150946294,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9151451543,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9151957021,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9152461783,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9152969004,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9153473903,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9153980078,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9154484991,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9154991811,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9155042516,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9155550368,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9156055923,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9156562069,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9157067384,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9157573200,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9158077973,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9158584420,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9159089811,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9159595185,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9160101274,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9160607937,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9161113192,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9161619887,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
