timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_pressure_pa,ambient_temperature,rho,temperature_source,calibration_count
9114124655,9114093039,6845961,202.78226,98912.92,15.0,1.1956421,0,0
9114202658,9114178926,6845961,202.77756,98912.99,15.0,1.195643,0,0
9114312033,9114280465,6845961,202.81512,98912.516,15.0,1.1956372,0,0
9114390125,9114366396,6845961,202.77756,98912.95,15.0,1.1956425,0,0
9114452663,9114452352,6845961,202.77756,98912.97,15.0,1.1956427,0,0
9114530832,9114514873,6845961,202.8386,98912.29,15.0,1.1956345,0,0
9114640168,9114608613,6845961,202.82451,98912.44,15.0,1.1956363,0,0
9114718258,9114702340,6845961,202.82921,98912.36,15.0,1.1956353,0,0
9114827666,9114796080,6845961,202.8386,98912.25,15.0,1.195634,0,0
9114905762,9114889980,6845961,202.85268,98912.11,15.0,1.1956323,0,0
9114968248,9114967957,6845961,202.81042,98912.586,15.0,1.1956381,0,0
9115062005,9115038281,6845961,202.81981,98912.484,15.0,1.1956369,0,0
9115155783,9115124227,6845961,202.82921,98912.39,15.0,1.1956358,0,0
9115265153,9115233603,6845961,202.8386,98912.24,15.0,1.1956339,0,0
9115343268,9115311714,6845961,202.85268,98912.11,15.0,1.1956323,0,0
9115452634,9115421087,6845961,202.81042,98912.59,15.0,1.1956382,0,0
9115530818,9115507052,6845961,202.81512,98912.52,15.0,1.1956373,0,0
9115640202,9115608633,6845961,202.82921,98912.37,15.0,1.1956354,0,0
9115718313,9115694555,6845961,202.80104,98912.68,15.0,1.1956393,0,0
9115780748,9115780463,6845961,202.79634,98912.75,15.0,1.1956401,0,0
9115858875,9115842967,6845961,202.80104,98912.7,15.0,1.1956395,0,0
9115968343,9115936771,6845961,202.85268,98912.086,15.0,1.195632,0,0
9116046490,9116030513,6845961,202.79634,98912.78,15.0,1.1956404,0,0
9116155795,9116124208,6845961,202.81512,98912.516,15.0,1.1956372,0,0
9116233881,9116217968,6845961,202.82921,98912.4,15.0,1.1956358,0,0
9116296565,9116296278,6845961,202.80573,98912.65,15.0,1.1956388,0,0
9116390183,9116366443,6845961,202.81512,98912.53,15.0,1.1956375,0,0
9116483915,9116452363,6845961,202.81512,98912.58,15.0,1.195638,0,0
9116593263,9116561759,6845961,202.75877,98913.17,15.0,1.1956452,0,0
9116671366,9116639886,6845961,202.80573,98912.66,15.0,1.1956389,0,0
9116780744,9116749209,6845961,202.80573,98912.664,15.0,1.195639,0,0
9116858873,9116835154,6845961,202.84329,98912.234,15.0,1.1956339,0,0
9116968271,9116936723,6845961,202.80104,98912.695,15.0,1.1956395,0,0
9117046374,9117022656,6845961,202.77756,98912.984,15.0,1.195643,0,0
9117108920,9117108593,6845961,202.81981,98912.5,15.0,1.195637,0,0
9117187015,9117171088,6845961,202.82921,98912.41,15.0,1.1956359,0,0
9117296386,9117264848,6845961,202.78226,98912.94,15.0,1.1956424,0,0
9117374526,9117358596,6845961,202.81042,98912.59,15.0,1.1956382,0,0
9117483912,9117452336,6845961,202.79164,98912.81,15.0,1.1956408,0,0
9117561999,9117546151,6845961,202.79164,98912.82,15.0,1.1956409,0,0
9117624506,9117624215,6845961,202.75877,98913.17,15.0,1.1956452,0,0
9117718256,9117694522,6845961,202.76817,98913.09,15.0,1.1956443,0,0
9117812034,9117780472,6845961,202.79164,98912.84,15.0,1.1956413,0,0
9117921386,9117889878,6845961,202.77286,98913.06,15.0,1.1956439,0,0
9117999642,9117967981,6845961,202.81042,98912.59,15.0,1.1956382,0,0
9118109009,9118077369,6845961,202.75877,98913.19,15.0,1.1956453,0,0
9118187004,9118163281,6845961,202.78694,98912.875,15.0,1.1956415,0,0
9118296407,9118264887,6845961,202.81042,98912.625,15.0,1.1956385,0,0
9118374514,9118350781,6845961,202.79634,98912.75,15.0,1.1956401,0,0
9118437014,9118436722,6845961,202.74939,98913.336,15.0,1.1956471,0,0
9118515188,9118499230,6845961,202.75877,98913.2,15.0,1.1956456,0,0
9118624512,9118592965,6845961,202.80104,98912.68,15.0,1.1956393,0,0
9118702636,9118686716,6845961,202.77286,98913.02,15.0,1.1956433,0,0
9118812129,9118780528,6845961,202.77756,98912.984,15.0,1.195643,0,0
9118890135,9118874213,6845961,202.77286,98913.07,15.0,1.1956439,0,0
9118952705,9118952369,6845961,202.80573,98912.664,15.0,1.195639,0,0
9119046367,9119022657,6845961,202.78226,98912.94,15.0,1.1956424,0,0
9119140165,9119108608,6845961,202.76347,98913.16,15.0,1.195645,0,0
9119249514,9119217965,6845961,202.79164,98912.85,15.0,1.1956413,0,0
9119327649,9119296085,6845961,202.77286,98913.06,15.0,1.1956439,0,0
9119437004,9119405475,6845961,202.77286,98913.05,15.0,1.1956437,0,0
9119515193,9119491419,6845961,202.78694,98912.86,15.0,1.1956414,0,0
9119624510,9119592974,6845961,202.77756,98912.96,15.0,1.1956426,0,0
9119702633,9119678928,6845961,202.75409,98913.266,15.0,1.1956463,0,0
9119765206,9119764906,6845961,202.78226,98912.94,15.0,1.1956424,0,0
9119843370,9119827361,6845961,202.80104,98912.67,15.0,1.1956391,0,0
9119952650,9119921091,6845961,202.80104,98912.68,15.0,1.1956393,0,0
9120030790,9120014850,6845961,202.84329,98912.234,15.0,1.1956339,0,0
9120140171,9120108611,6845961,202.8386,98912.28,15.0,1.1956344,0,0
9120218251,9120202339,6845961,202.82921,98912.36,15.0,1.1956353,0,0
9120280745,9120280454,6845961,202.81042,98912.586,15.0,1.1956381,0,0
9120374515,9120350778,6845961,202.84329,98912.22,15.0,1.1956336,0,0
9120468251,9120436715,6845961,202.82451,98912.445,15.0,1.1956364,0,0
9120577695,9120546140,6845961,202.81042,98912.625,15.0,1.1956385,0,0
9120655743,9120624221,6845961,202.81981,98912.49,15.0,1.1956369,0,0
9120765167,9120733612,6845961,202.80573,98912.66,15.0,1.1956389,0,0
9120843260,9120819552,6845961,202.80104,98912.67,15.0,1.1956391,0,0
9120952663,9120921097,6845961,202.80573,98912.66,15.0,1.1956389,0,0
9121030791,9121007107,6845961,202.78226,98912.93,15.0,1.1956422,0,0
9121093329,9121093038,6845961,202.75877,98913.19,15.0,1.1956453,0,0
9121171374,9121155476,6845961,202.75409,98913.28,15.0,1.1956464,0,0
9121280742,9121249206,6845961,202.81512,98912.57,15.0,1.1956378,0,0
9121358882,9121342997,6845961,202.77756,98913.0,15.0,1.1956431,0,0
9121468254,9121436716,6845961,202.77756,98912.99,15.0,1.195643,0,0
9121546458,9121530513,6845961,202.77756,98912.984,15.0,1.195643,0,0
9121608880,9121608591,6845961,202.77286,98913.05,15.0,1.1956437,0,0
9121702641,9121678900,6845961,202.76817,98913.08,15.0,1.195644,0,0
9121796385,9121764845,6845961,202.7259,98913.57,15.0,1.19565,0,0
9121905776,9121874211,6845961,202.7259,98913.62,15.0,1.1956506,0,0
9121983906,9121952334,6845961,202.71652,98913.67,15.0,1.1956512,0,0
9122093256,9122061724,6845961,202.77286,98913.07,15.0,1.1956439,0,0
9122171373,9122147650,6845961,202.77756,98912.97,15.0,1.1956427,0,0
9122280791,9122249229,6845961,202.76817,98913.1,15.0,1.1956443,0,0
9122358992,9122335156,6845961,202.7259,98913.59,15.0,1.1956502,0,0
9122421376,9122421088,6845961,202.71182,98913.73,15.0,1.1956519,0,0
9122499511,9122483593,6845961,202.68835,98914.05,15.0,1.1956557,0,0
9122608955,9122577395,6845961,202.7306,98913.52,15.0,1.1956494,0,0
9122687183,9122671170,6845961,202.75877,98913.17,15.0,1.1956452,0,0
9122796477,9122764894,6845961,202.7306,98913.53,15.0,1.1956495,0,0
9122874518,9122858586,6845961,202.71652,98913.69,15.0,1.1956514,0,0
9122937135,9122936844,6845961,202.7306,98913.52,15.0,1.1956494,0,0
9123030832,9123007066,6845961,202.67427,98914.2,15.0,1.1956576,0,0
9123124519,9123092968,6845961,202.71182,98913.766,15.0,1.1956524,0,0
9123233890,9123202364,6845961,202.70714,98913.84,15.0,1.1956533,0,0
9123312047,9123280470,6845961,202.68835,98914.02,15.0,1.1956555,0,0
9123421390,9123389843,6845961,202.70714,98913.85,15.0,1.1956534,0,0
9123499526,9123475788,6845961,202.68365,98914.08,15.0,1.1956561,0,0
9123608978,9123577381,6845961,202.67897,98914.16,15.0,1.195657,0,0
9123687001,9123663294,6845961,202.66957,98914.28,15.0,1.1956586,0,0
9123749566,9123749281,6845961,202.7259,98913.61,15.0,1.1956505,0,0
9123827631,9123811719,6845961,202.69305,98913.95,15.0,1.1956546,0,0
9123937000,9123905469,6845961,202.68365,98914.125,15.0,1.1956567,0,0
9124015159,9123999231,6845961,202.69305,98913.99,15.0,1.1956551,0,0
9124124509,9124092964,6845961,202.67427,98914.195,15.0,1.1956576,0,0
9124202702,9124186713,6845961,202.66487,98914.34,15.0,1.1956594,0,0
9124265129,9124264832,6845961,202.67427,98914.22,15.0,1.1956577,0,0
