timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
9116387096,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9116588349,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9116787841,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9116987533,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9117187931,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9117388424,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9117589904,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9117789430,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9117989123,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9118189621,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
